DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP
1,8XX LIVINGSTON ST,39.1162630324409,-84.5268665869015,WEST END,2927,159006976,1,"CINCINNATI, OH 45202",BLACK,MALE,33,NONFATAL,03/24/2015 12:00:00 AM,MAR,180000,18,TUE,159006976,03/24/2015 06:00:00 PM,DISTRICT 1,45214
5,55XX GOLDENROD DR,39.1960732341402,-84.5730892926678,MOUNT AIRY,1781,129008478,1,"CINC, OH 45239",BLACK,MALE,33,NONFATAL,04/03/2012 12:00:00 AM,APR,220700,22,TUE,129008478,04/03/2012 10:07:00 PM,DISTRICT 5,45239
1,5XX W MCMICKEN ST,39.1212762611146,-84.5296757814478,OVER-THE-RHINE,3534,169015848,1,"CINCINNATI, OH 45214",BLACK,FEMALE,29,NONFATAL,06/29/2016 12:00:00 AM,JUN,042500,4,WED,169015848,06/29/2016 04:25:00 AM,DISTRICT 1,
4,7XX S SHUTTLESWORTH CR,39.1519515969091,-84.4876182245927,NORTH AVONDALE,303,40807260,1,,WHITE,MALE,43,FATAL,09/28/2008 12:00:00 AM,SEP,,N/A,SUN,40807260,09/28/2008 12:00:00 AM,DISTRICT 4,45229
3,38XX LATHAM AV,39.1204016259427,-84.5758846589524,WEST PRICE HILL,19,30800559,1,,WHITE,MALE,39,NONFATAL,01/19/2008 12:00:00 AM,JAN,,N/A,SAT,30800559,01/19/2008 12:00:00 AM,DISTRICT 3,45205
1,11XX WALNUT ST,39.1066176327047,-84.5136792235417,OVER-THE-RHINE,2205,139011908,1,"CINC, OH 45220",BLACK,MALE,34,NONFATAL,05/16/2013 12:00:00 AM,MAY,023000,2,THU,139011908,05/16/2013 02:30:00 AM,DISTRICT 1,45202
4,6XX GHOLSON AV,39.1489649225545,-84.4899420197022,NORTH AVONDALE,40,40801338,1,,BLACK,MALE,26,NONFATAL,03/02/2008 12:00:00 AM,MAR,,N/A,SUN,40801338,03/02/2008 12:00:00 AM,DISTRICT 4,45229
2,33XX WOODBURN AV,39.1389895112089,-84.4753533479396,EVANSTON,804,20905864,1,,BLACK,MALE,27,FATAL,12/07/2009 12:00:00 AM,DEC,,N/A,MON,20905864,12/07/2009 12:00:00 AM,DISTRICT 2,45207
3,18XX WESTWOOD AV,39.1261285093751,-84.5597071441884,SOUTH FAIRMOUNT,1899,129020912,1,"CINC, OH 45214",BLACK,MALE,44,NONFATAL,07/28/2012 12:00:00 AM,JUL,182000,18,SAT,129020912,07/28/2012 06:20:00 PM,DISTRICT 3,45214
5,1XX CRAFT ST,39.1793371065847,-84.510384898808,WINTON HILLS,3309,159032494,1,"CINCINNATI, OH 45232",BLACK,MALE,18,NONFATAL,12/03/2015 12:00:00 AM,DEC,001000,0,THU,159032494,12/03/2015 12:10:00 AM,DISTRICT 5,
5,54XX BAHAMA TE,39.1883708600253,-84.5662115279452,MOUNT AIRY,316,50806077,2,,BLACK,MALE,18,FATAL,10/04/2008 12:00:00 AM,OCT,,N/A,SAT,50806077,10/04/2008 12:00:00 AM,DISTRICT 5,45223
1,XX GREEN ST,39.1152677890456,-84.5178277174115,OVER-THE-RHINE,333,10805182,1,,BLACK,MALE,22,NONFATAL,10/15/2008 12:00:00 AM,OCT,,N/A,WED,10805182,10/15/2008 12:00:00 AM,DISTRICT 1,45202
4,28XX STANTON AV,39.1316655276312,-84.492285368526,WALNUT HILLS,2749,149023016,1,"CINC, OH 45211",BLACK,MALE,22,NONFATAL,09/12/2014 12:00:00 AM,SEP,,N/A,FRI,149023016,09/12/2014 12:00:00 AM,DISTRICT 4,45206
4,28XX VINE ST,39.1315458319403,-84.5087059309808,CORRYVILLE,3727,169029878,1,,BLACK,MALE,17,FATAL,11/14/2016 12:00:00 AM,NOV,184500,18,MON,169029878,11/14/2016 06:45:00 PM,DISTRICT 4,
5,57XX COLERAIN AV,39.1979060726613,-84.5777106759568,MOUNT AIRY,1676,51107045,1,"CIN, OH 45224",BLACK,MALE,24,NONFATAL,12/17/2011 12:00:00 AM,DEC,015000,1,SAT,51107045,12/17/2011 01:50:00 AM,DISTRICT 5,45239
5,54XX WINNESTE AV,39.1900395844744,-84.5141226625103,WINTON HILLS,3406,169005374,1,"CINCINNATI, OH 45223",BLACK,MALE,27,NONFATAL,03/09/2016 12:00:00 AM,MAR,010000,1,WED,169005374,03/09/2016 01:00:00 AM,DISTRICT 5,
3,10XX ROSS AV,39.1132230291574,-84.5751748788718,EAST PRICE HILL,3536,169016203,1,"CINCINNATI, OH 45238",WHITE,FEMALE,23,NONFATAL,07/01/2016 12:00:00 AM,JUL,220000,22,FRI,169016203,07/01/2016 10:00:00 PM,DISTRICT 3,
1,12XX MAIN ST,39.1085968140227,-84.5110143922671,OVER-THE-RHINE,2236,139013700,1,"CINC, OH 45213",BLACK,MALE,40,NONFATAL,06/01/2013 12:00:00 AM,JUN,222100,22,SAT,139013700,06/01/2013 10:21:00 PM,DISTRICT 1,45202
1,4XX W NINTH ST,39.103401835754,-84.5215201819854,WEST END,506,10901245,1,,BLACK,MALE,20,NONFATAL,03/27/2009 12:00:00 AM,MAR,,N/A,FRI,10901245,03/27/2009 12:00:00 AM,DISTRICT 1,45203
3,17XX CARLL ST,39.1350169965216,-84.5521696873805,NORTH FAIRMOUNT,135,30804852,1,,BLACK,MALE,24,NONFATAL,05/28/2008 12:00:00 AM,MAY,,N/A,WED,30804852,05/28/2008 12:00:00 AM,DISTRICT 3,45225
3,24XX HARRISON AV,39.1394794911223,-84.5803110040565,WESTWOOD,3611,169021298,1,"CINCINNATI, OH 45225",BLACK,MALE,21,NONFATAL,08/20/2016 12:00:00 AM,AUG,001700,0,SAT,169021298,08/20/2016 12:17:00 AM,DISTRICT 3,
4,76XX READING RD,39.1984773654521,-84.4574366288011,ROSELAWN,2684,149016774,1,"CINC, OH 45205",BLACK,MALE,36,NONFATAL,07/12/2014 12:00:00 AM,JUL,040000,4,SAT,149016774,07/12/2014 04:00:00 AM,DISTRICT 4,45237
1,1XX E CLIFTON AV,39.1155923238315,-84.5138653733303,OVER-THE-RHINE,3265,159029154,1,"CINCINNATI, OH 45202",BLACK,MALE,34,NONFATAL,10/24/2015 12:00:00 AM,OCT,034500,3,SAT,159029154,10/24/2015 03:45:00 AM,DISTRICT 1,
4,34XX DURY AV,39.1431544024703,-84.5056167207986,AVONDALE,2860,149032972,2,"CINC, OH 45205",BLACK,MALE,22,NONFATAL,12/26/2014 12:00:00 AM,DEC,220000,22,FRI,149032972,12/26/2014 10:00:00 PM,DISTRICT 4,45220
3,25XX NOTTINGHAM RD,39.1562374611446,-84.5604570775726,FAYE APARTMENTS,110,30803995,1,,BLACK,MALE,20,NONFATAL,05/06/2008 12:00:00 AM,MAY,,N/A,TUE,30803995,05/06/2008 12:00:00 AM,DISTRICT 3,45225
1,17XX LANG ST,39.1143746428697,-84.5137657765509,OVER-THE-RHINE,905,11000987,1,,BLACK,MALE,20,FATAL,03/23/2010 12:00:00 AM,MAR,,N/A,TUE,11000987,03/23/2010 12:00:00 AM,DISTRICT 1,45202
4,35XX READING RD,39.1454304753041,-84.4910671333725,AVONDALE,3030,159012954,1,"CINC, OH 45229",BLACK,MALE,26,NONFATAL,05/22/2015 12:00:00 AM,MAY,222500,22,FRI,159012954,05/22/2015 10:25:00 PM,DISTRICT 4,45229
4,8XX BLAIR AV,39.14121648619,-84.4923378815979,AVONDALE,3495,169013575,1,"CINCINNATI, OH 45206",BLACK,MALE,16,NONFATAL,06/06/2016 12:00:00 AM,JUN,225000,22,MON,169013575,06/06/2016 10:50:00 PM,DISTRICT 4,
